EmployeeId,GenderCode,GenderName,Dateofbirth,Age,Level1Code,Level2Code,Level3Code,Level4Code,JobCategoryCode,UnionMember,UnionStatus,DateOfAppointment,DesignationCode,tenure,Salary,Overtime,A_ResignedDate,TravelModeCode,TravelMethodName,A_DateOfRetirement,Deleted,deleted_resign,GradeCode,EmploymentTypeCode,Category,AvgFinalScore,PromotionTypeName,PromotionTypeId,maxeffectdate,ResignationTypeId,ResignationTypeName,WorkingYears,NoOfCompaniesWorked,Average_LeavesPerMonth,ReportingPersonCode,ReportingDesignationCode,PromotionDate,MonthsinceLastpromotion2,OldDesignationCode,OldCategoryCode,OldGradeCode,latestpromotionday,allocated_leaves,usedleaves,leave_PercentagALL,AbsentiesmPercentage,AverageMonthlyWorkhrs,AvgOverTimeRate,avgyearlyhrsholidyhrsworked,HolidayworkingPercentage,avgyearlynoOfHolidaysworked,avgyearlywkndhrsworked,avgnofwkndsworked,weekendworkingPercentage,AvgShrtlveHrs,expectdwrkhrsR,expectdwrkhrsEX,sumofworkhrsRe,sumofworkhrsEx,Workinghrpercentage,sumwrhrsR,sumwrhrsE,noofweekendswrkd6E,noofweekendswrkd6R,wkendwrkpercntage,Noofweekendsworked6,sumwrholihre,sumwrholihrex,holidywrkpercentage6,noofholidaysworked6,sumOverTimeRate6monthsE,sumOverTimeRate6monthsR,overtimewrknpercntage,AbsentiesmPercentageE,AbsentiesmPercentageR,AbsenteeismPercntage6,allocatedleaves,usedleaves,LeavePercntagenew,exs,sre,sumofshrtlvehrs6
F1529D9C-017D-4DB5-B5A2-11E58072F65F,1,Male,6/4/1988,35,NULL,6,NULL,NULL,134,0,0,22/5/2017,9003,5,0,0,1/1/1901,2,Private Vehicle ,6/4/2048,0,NULL,0,54,PER,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.111111111,17190,9031,NULL,NULL,NULL,NULL,NULL,NULL,193,37,19.17098446,44.60641399,253.44,0,NULL,0,NULL,2.746666782,1,0.550458716,NULL,NULL,747,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,100,NULL,100,193,37,19.17098446,NULL,NULL,NULL
81261C97-B2FD-4740-BF37-12CCB8439092,2,Female,6/5/1985,38,NULL,6,1002,NULL,131,0,0,5/9/2010,8941,5,0,0,30/4/2016,0,NULL,6/5/2035,1,0,0,54,PER,NULL,NULL,NULL,30/5/2016,2,Voluntary Resignation ,3,1,9,17099,8998,NULL,NULL,NULL,NULL,NULL,NULL,196,19.5,9.948979592,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,196,19.5,9.948979592,NULL,NULL,NULL
09E7C4D8-9B64-42A1-AF80-1315CED651EA,1,Male,10/3/1994,29,NULL,6,1004,NULL,140,0,0,1/7/2021,8973,1,0,0,1/1/1901,0,NULL,19/6/2081,0,NULL,0,54,PER,84.52,Performance,1,NULL,NULL,NULL,NULL,NULL,3.444444444,17241,9032,2/5/2022,9,9033,134,0,2/5/2022,81,29,35.80246914,14.84184915,231.18,0,0,3.846153846,1,0,2,1.19047619,NULL,NULL,963,NULL,473.8300023,49.20353088,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,17.75700935,NULL,17.75700935,81,29,35.80246914,NULL,NULL,NULL
AC2DCF3B-7B9A-4EE7-8E01-1358DF4BF433,1,Male,7/4/1996,27,NULL,7,1012,NULL,134,0,0,1/3/2022,8976,0,0,0,1/1/1901,0,NULL,1/1/1901,0,NULL,0,47,PROB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,17409,9108,NULL,NULL,NULL,NULL,NULL,NULL,22,3,13.63636364,18.90756303,75.84,0,11.02999973,7.142857143,1,0,2,2.06185567,NULL,NULL,963,NULL,351.5700004,36.50778821,NULL,0,1,NULL,0,1,NULL,NULL,NULL,NULL,0,NULL,0,18.69158879,NULL,18.69158879,22,3,13.63636364,NULL,NULL,NULL
6F13CC50-2130-40A9-95D7-174A249F098F,1,Male,14/4/1986,37,NULL,6,1004,NULL,133,0,0,1/2/2012,9009,9,0,0,18/3/2021,2,Private Vehicle ,14/4/2046,1,0,0,54,PER,56.4275,NULL,NULL,9/4/2021,2,Voluntary Resignation ,2,1,7.416666667,17206,8977,NULL,NULL,NULL,NULL,NULL,NULL,280,93,33.21428571,33.36594912,263.4,0,0,1.639344262,1,0,1,0.497512438,NULL,558,NULL,334.46,NULL,59.93906811,NULL,NULL,NULL,NULL,59.93906811,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,22.58064516,22.58064516,280,93,33.21428571,NULL,NULL,NULL
2A2EFA67-7F37-4CD3-A13E-17C4B2AE9CCE,1,Male,14/3/2021,22,NULL,6,1004,NULL,134,0,0,1/7/2021,9033,0,0,0,4/10/2021,2,Private Vehicle ,13/6/2081,1,0,0,47,PROB,NULL,NULL,NULL,8/11/2021,2,Voluntary Resignation ,NULL,NULL,NULL,17300,9081,NULL,NULL,NULL,NULL,NULL,NULL,3,0,0,16.4556962,107.51,0,NULL,0,NULL,NULL,NULL,0,NULL,1422,NULL,1075.199994,NULL,75.61181391,NULL,NULL,NULL,NULL,75.61181391,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,16.4556962,16.4556962,3,0,0,NULL,NULL,NULL
E73DD47A-5504-4B93-ACE1-1823ED60B12C,2,Female,23/9/1988,35,NULL,6,1002,NULL,132,0,0,1/1/2021,9050,2,0,0,1/1/1901,6,NULL,3/1/2076,0,NULL,0,47,PROB,85.38,Performance,1,NULL,NULL,NULL,9,6,2.333333333,17098,8956,2/5/2022,9,9068,131,0,2/5/2022,61,19,31.14754098,6.896551724,365.21,0,18.01000023,5.405405405,2,11.47999954,1,0.46728972,NULL,NULL,963,NULL,883.8400087,91.77985553,NULL,11.47999954,1,NULL,1.192107948,1,NULL,9.010000229,0.935617885,1,0,NULL,0,7.476635514,NULL,7.476635514,61,19,31.14754098,NULL,NULL,NULL
5894A6BF-C7C4-407D-AD32-19386329B7F6,2,Female,24/5/1995,28,NULL,8,1014,NULL,134,0,0,2/11/2020,9075,1,0,0,27/6/2022,0,NULL,2/11/2075,1,0,0,54,PER,62.8,NULL,NULL,27/7/2022,2,Voluntary Resignation ,2,2,1.65,17099,9065,NULL,NULL,NULL,NULL,NULL,NULL,47,12,25.53191489,12.23529412,191.7,0,NULL,0,NULL,1.590000033,1,1.149425287,NULL,1251,NULL,504.739999,NULL,40.34692238,3.180000067,NULL,NULL,1,40.34692238,1,NULL,NULL,NULL,NULL,NULL,0,0,NULL,21.58273381,21.58273381,47,12,25.53191489,NULL,NULL,NULL
F9FADDE1-995A-4FC6-A388-19C2149A71DB,1,Male,17/6/1995,28,NULL,6,1006,NULL,134,0,0,1/3/2017,8935,-116,0,0,1/1/1901,0,NULL,17/6/2055,1,0,0,47,PROB,NULL,NULL,NULL,1/3/2017,2,Voluntary Resignation ,NULL,NULL,NULL,17107,9024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
C5CB376A-9B0F-40AE-8D56-1A4595CDE4B7,2,Female,26/8/1995,28,NULL,6,1004,NULL,134,0,0,12/5/2021,9033,1,0,0,1/1/1901,0,NULL,25/4/2076,0,NULL,0,54,PER,NULL,NULL,NULL,NULL,NULL,NULL,0,2,4,17208,9032,NULL,NULL,NULL,NULL,NULL,NULL,61,26,42.62295082,62.3853211,43.14,0,0,3.571428571,1,0,2,1.123595506,NULL,NULL,963,NULL,37.10999943,3.853582495,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,85.04672897,NULL,85.04672897,61,26,42.62295082,NULL,NULL,NULL
